#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,267.51,247.47,4.054492
128,5000,533.11,485.58,3.977851
256,5000,1062.42,982.88,4.025895
512,5000,2106.14,1927.19,3.946891
1024,5000,4242.16,3805.87,3.897208
2048,5000,8409.76,7495.36,3.837622
4096,5000,16644.02,14785.31,3.785041
8192,5000,23456.65,21526.78,2.755428
16384,5000,23413.61,22523.24,1.441487
32768,5000,23413.61,23025.18,0.736806
65536,5000,23417.19,23281.28,0.372501
131072,5000,23417.19,23416.60,0.187333
262144,5000,23426.15,23260.12,0.093040
524288,5000,23437.35,23437.03,0.046874
1048576,5000,23540.26,23379.56,0.023380
2097152,5000,23420.88,23350.21,0.011675
4194304,5000,23421.39,23352.05,0.005838
8388608,5000,23407.30,23360.01,0.002920
16777216,5000,23337.82,23336.36,0.001459
