#bytes,#iterations,BW peak[MB/sec],BW average[MB/sec],MsgRate[Mpps]
64,5000,138.59,123.91,2.030061
128,5000,287.29,251.92,2.063736
256,5000,555.38,505.54,2.070676
512,5000,1058.66,995.48,2.038753
1024,5000,1886.85,1826.28,1.870113
2048,5000,2266.77,2087.91,1.069009
4096,5000,8845.02,2954.89,0.756453
8192,5000,9346.01,3984.24,0.509982
16384,5000,19294.98,6622.27,0.423825
32768,5000,20126.84,10596.01,0.339072
65536,5000,20150.68,14225.81,0.227613
131072,5000,20319.13,16513.32,0.132107
262144,5000,20558.52,18808.74,0.075235
524288,5000,20672.66,20162.55,0.040325
1048576,5000,20779.09,20748.75,0.020749
2097152,5000,21547.74,21547.69,0.010774
4194304,5000,21828.81,21828.78,0.005457
8388608,5000,22708.95 ,22708.95,0.002839
16777216,5000,23368.65,23350.62,0.001459
