#bytes,#iterations,BWpeak[MiB/sec],BWaverage[MiB/sec],MsgRate[Mpps]
64,5000,263.27,244.66,4.008563
128,5000,532.16,494.76,4.053046
256,5000,1056.79,984.57,4.032778
512,5000,2080.50,2075.07,4.249749
1024,5000,4219.71,3789.50,3.880450
2048,5000,8336.51,7471.96,3.825642
4096,5000,16586.33,16496.82,4.223187
8192,5000,23456.65,21573.03,2.761348
16384,5000,23413.61,22523.30,1.441491
32768,5000,23528.73,23525.00,0.752800
65536,5000,23338.67,22971.12,0.367538
131072,5000,23297.83,23261.84,0.186095
262144,5000,23420.77,23257.22,0.093029
524288,5000,23413.61,23405.09,0.046810
1048576,5000,23546.82,23429.85,0.023430
2097152,5000,23420.46,23383.86,0.011692
4194304,5000,23399.22,23343.48,0.005836
8388608,5000,23398.65,23353.16,0.002919
16777216,5000,23363.11,23339.23,0.001459
